Date,Colony,Ant ID,Time,Junction,Entered From,Exited Toward,Turn Type (L/R/U),Choice (W/N),Action (inspect/ignore),
6/22/21,21-SP3,2A,,1221,,,,,inspect,
6/22/21,21-SP3,2A,,122,,,,,,
6/22/21,21-SP3,2A,,1222,,,,,,
6/22/21,21-SP3,2A,,122,,,,,,
6/22/21,21-SP3,2A,,12,,,,,,
6/22/21,21-SP3,2A,,10,,,,,,
6/22/21,21-SP3,2A,,1,,,,,,
6/22/21,21-SP3,2A,,3,,,,,,
6/22/21,21-SP3,2A,,5,,,,,,
6/22/21,21-SP3,2A,,50,,,,,,
6/22/21,21-SP3,2A,16:19,52,,,,,inspect (crawling around sugar tube 50+ times),
6/22/21,21-SP3,2B,16:30,0,,2,,,,
6/22/21,21-SP3,2B,,0,,,,,,
6/22/21,21-SP3,2B,,2,,,,,,
6/22/21,21-SP3,2B,,20,,,,,,
6/22/21,21-SP3,2B,,22,,,,,,
6/22/21,21-SP3,2B,,222,,,,,,
6/22/21,21-SP3,2B,,2222,,,,,,
6/22/21,21-SP3,2B,,222,,,,,,
6/22/21,21-SP3,2B,,22,,,,,,
6/22/21,21-SP3,2B,,20,,,,,,
6/22/21,21-SP3,2B,,2,,,,,,
6/22/21,21-SP3,2B,,0,,,,,,
6/22/21,21-SP3,2B,,1,,10,,,,
6/22/21,21-SP3,2B,,1,,,,,,
6/22/21,21-SP3,2B,,3,,,,,,
6/22/21,21-SP3,2B,,1,,,,,,
6/22/21,21-SP3,2B,,0,,,,,,
6/22/21,21-SP3,2B,16:33,-1,,,,,,
6/23/21,21-SP3,3A,15:19,0,,2,,,,
6/23/21,21-SP3,3A,,0,,,,,,
6/23/21,21-SP3,3A,,1,,,,,,
6/23/21,21-SP3,3A,,3,,5,,,,
6/23/21,21-SP3,3A,,3,,,,,,
6/23/21,21-SP3,3A,,30,,,,,,
6/23/21,21-SP3,3A,,32,,,,,,
6/23/21,21-SP3,3A,,322,,,,,inspect,
6/23/21,21-SP3,3A,,32,,321,,,,
6/23/21,21-SP3,3A,,32,,322,,,,
6/23/21,21-SP3,3A,,32,,,,,,
6/23/21,21-SP3,3A,,30,,,,,,
6/23/21,21-SP3,3A,,31,,,,,,
6/23/21,21-SP3,3A,15:22,312,,,,,inspect,
6/23/21,21-SP3,3A,,31,,,,,,
6/23/21,21-SP3,3A,,30,,,,,,
6/23/21,21-SP3,3A,,32,,,,,,
6/23/21,21-SP3,3A,,322,,,,,,
6/23/21,21-SP3,3A,,32,,,,,,
6/23/21,21-SP3,3A,,30,,,,,,
6/23/21,21-SP3,3A,,3,,,,,,
6/23/21,21-SP3,3A,,1,,,,,,
6/23/21,21-SP3,3A,,0,,,,,,
6/23/21,21-SP3,3A,15:24,-1,,,,,,
6/23/21,21-SP3,3B,15:30,0,,,,,,
6/23/21,21-SP3,3B,,1,,,,,,
6/23/21,21-SP3,3B,,0,,,,,,
6/23/21,21-SP3,3B,,2,,,,,,
6/23/21,21-SP3,3B,,20,,,,,,
6/23/21,21-SP3,3B,,22,,,,,,
6/23/21,21-SP3,3B,,221,,2211,,,,
6/23/21,21-SP3,3B,,221,,,,,,
6/23/21,21-SP3,3B,,2212,,,,,"inspect (nest, went fast up and down)",
6/23/21,21-SP3,3B,,221,,,,,,
6/23/21,21-SP3,3B,,2211,,,,,,
6/23/21,21-SP3,3B,,221,,,,,,
6/23/21,21-SP3,3B,,22,,,,,,
6/23/21,21-SP3,3B,,20,,,,,,
6/23/21,21-SP3,3B,,2,,,,,,
6/23/21,21-SP3,3B,,0,,,,,,
6/23/21,21-SP3,3B,15:33,-1,,,,,,
6/23/21,21-SP3,4A,16:09,0,,1,,,,
6/23/21,21-SP3,4A,,0,,,,,,
6/23/21,21-SP3,4A,,2,,20,,,,
6/23/21,21-SP3,4A,,2,,,,,,
6/23/21,21-SP3,4A,,4,,,,,,
6/23/21,21-SP3,4A,,2,,20,,,,
6/23/21,21-SP3,4A,,2,,,,,,
6/23/21,21-SP3,4A,,0,,,,,,
6/23/21,21-SP3,4A,,1,,,,,,
6/23/21,21-SP3,4A,,10,,,,,,
6/23/21,21-SP3,4A,,1,,,,,,
6/23/21,21-SP3,4A,16:11,0,,,,,,
6/23/21,21-SP3,4A,,-1,,,,,,
6/23/21,21-SP3,4A,16:21,0,,,,,,
6/23/21,21-SP3,4A,,2,,,,,,
6/23/21,21-SP3,4A,,20,,,,,,
6/23/21,21-SP3,4A,,21,,,,,,
6/23/21,21-SP3,4A,,212,,2122,,,,
6/23/21,21-SP3,4A,,212,,2121,,,,
6/23/21,21-SP3,4A,,212,,,,,,
6/23/21,21-SP3,4A,,21,,,,,,
6/23/21,21-SP3,4A,,211,,,,,,
6/23/21,21-SP3,4A,,2111,,,,,,
6/23/21,21-SP3,4A,,211,,,,,,
6/23/21,21-SP3,4A,,21,,,,,,
6/23/21,21-SP3,4A,,20,,,,,,
6/23/21,21-SP3,4A,,2,,,,,,
6/23/21,21-SP3,4A,,0,,1,,,,
6/23/21,21-SP3,4A,,0,,-1,,,,
6/23/21,21-SP3,4A,16:24,-1,,,,,,
6/23/21,21-SP3,4B,16:30,0,,2,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,,-1,,,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,,1,,3,,,,
6/23/21,21-SP3,4B,,1,,,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,16:34,-1,,,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,,-1,,,,,,
6/23/21,21-SP3,4B,,0,,1,,,,
6/23/21,21-SP3,4B,,0,,-1,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,,2,,,,,,
6/23/21,21-SP3,4B,,20,,,,,,
6/23/21,21-SP3,4B,,22,,,,,,
6/23/21,21-SP3,4B,,222,,,,,,
6/23/21,21-SP3,4B,,2222,,,,,,
6/23/21,21-SP3,4B,,222,,,,,,
6/23/21,21-SP3,4B,,2221,,,,,inspect,
6/23/21,21-SP3,4B,,222,,,,,,
6/23/21,21-SP3,4B,,2222,,,,,inspect,
6/23/21,21-SP3,4B,,222,,,,,,
