"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"38","6/21/21","21-SP3","1B","1","B",NA,"40",NA,NA,NA,FALSE,0,"4","4","main",0.45,"wide","main",0.45,"wide","U",NA,NA
"39","6/21/21","21-SP3","1B","1","B",NA,"4",NA,NA,NA,FALSE,0,"40","2","left",0.45,"narrow","main",0.6,"wide","R","=","to.trunk"
"40","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,0,"4","0","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"41","6/21/21","21-SP3","1B","1","B",NA,"0",NA,NA,NA,FALSE,0,"2","-1","left",0.6,"wide","right",0.45,"narrow","L","N","away.from.trunk"
"42","6/21/21","21-SP3","1B","1","B",NA,"0",NA,NA,NA,FALSE,0,"-1","1","right",0.45,"narrow","main",0.6,"wide","L","=","to.trunk"
"43","6/21/21","21-SP3","1B","1","B",NA,"1",NA,NA,NA,FALSE,0,"0","3","right",0.6,"wide","main",0.6,"wide","L","W","to.trunk"
"44","6/21/21","21-SP3","1B","1","B",NA,"3",NA,NA,NA,FALSE,0,"1","1","left",0.6,"wide","left",0.6,"wide","U",NA,NA
"45","6/21/21","21-SP3","1B","1","B",NA,"1",NA,NA,NA,FALSE,0,"3","0","main",0.6,"wide","right",0.6,"wide","R","W","away.from.trunk"
"46","6/21/21","21-SP3","1B","1","B",NA,"0",NA,NA,NA,FALSE,0,"1","-1","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"47","6/21/21","21-SP3","1B","1","B",NA,"0",NA,NA,NA,FALSE,0,"-1","2","right",0.45,"narrow","left",0.6,"wide","R","=","away.from.trunk"
"48","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,0,"0","20","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"49","6/21/21","21-SP3","1B","1","B",NA,"20",NA,NA,NA,FALSE,0,"2","22","main",0.45,"wide","right",0.34,"narrow","R","N","away.from.trunk"
"50","6/21/21","21-SP3","1B","1","B",NA,"22",NA,NA,NA,FALSE,0,"20","222","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"51","6/21/21","21-SP3","1B","1","B",NA,"222",NA,NA,NA,FALSE,0,"22","2221","main",0.34,"wide","left",0.25,"narrow","L","N","away.from.trunk"
"52","6/21/21","21-SP3","1B","1","B",NA,"222",NA,NA,NA,FALSE,1,"2221","22","left",0.25,"narrow","main",0.34,"wide","R","=","to.trunk"
"53","6/21/21","21-SP3","1B","1","B",NA,"22",NA,NA,NA,FALSE,1,"222","20","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
"54","6/21/21","21-SP3","1B","1","B",NA,"20",NA,NA,NA,FALSE,1,"22","21","right",0.34,"narrow","left",0.45,"wide","R","=","away.from.trunk"
"55","6/21/21","21-SP3","1B","1","B",NA,"21",NA,NA,NA,FALSE,1,"20","211","main",0.45,"wide","left",0.34,"narrow","L","N","away.from.trunk"
