"Junction","Direction.From","Width.From","Node.From","Rel.Width.From","Direction.To","Width.To","Node.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk","Junction.Handedness","Turn.Angle","isUTurn","isSharpTurn","sharpIsLeft","Angle.From","Sharp.Turn.Prob","U.Turn.Prob","Turn.Probability"
"3","right",0.45,"30","narrow","left",0.6,"1","wide","R","=","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.528109917150166
"3","right",0.45,"30","narrow","right",0.45,"30","narrow","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.0805532756482322
"4","main",0.6,"2","wide","main",0.6,"2","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"4","main",0.6,"2","wide","left",0.45,"40","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"4","main",0.6,"2","wide","right",0.6,"6","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"4","left",0.45,"40","narrow","main",0.6,"2","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"4","left",0.45,"40","narrow","left",0.45,"40","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"4","left",0.45,"40","narrow","right",0.6,"6","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"4","right",0.6,"6","wide","main",0.6,"2","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"4","right",0.6,"6","wide","left",0.45,"40","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
